post_id,date,likes,comments,reposts,views,attachments,text
2980,2024-04-19 16:00:03,10,0,6,1998,1,209
3068,2024-06-06 18:30:01,35,0,7,2359,2,102
3066,2024-06-01 14:40:00,8,0,3,576,1,100
3064,2024-05-31 14:10:00,30,0,9,1518,1,161
3062,2024-05-31 12:00:07,8,0,1,2279,4,101
3058,2024-05-30 17:10:00,46,1,6,4196,2,149
3056,2024-05-30 11:15:00,12,0,1,1701,1,48
3054,2024-05-29 18:00:05,8,0,1,458,1,97
3053,2024-05-29 14:42:00,8,0,1,432,1,66
3052,2024-05-29 14:40:00,7,0,1,400,1,76
3048,2024-05-28 18:00:04,6,0,1,450,1,152
3046,2024-05-27 19:40:46,16,0,2,761,1,149
3044,2024-05-25 19:30:00,10,0,3,776,1,68
3041,2024-05-25 15:10:00,9,0,3,701,1,48
3039,2024-05-25 14:30:00,9,0,1,486,1,178
3020,2024-05-13 21:15:50,12,0,5,1254,1,74
3017,2024-05-11 12:45:00,13,1,8,923,1,69
3015,2024-05-11 09:40:15,3,0,5,663,0,27
3014,2024-05-09 12:00:05,8,0,1,588,1,160
3012,2024-05-07 09:30:00,12,0,3,777,1,165
3010,2024-05-06 11:20:00,9,0,1,917,1,200
3007,2024-05-04 18:50:00,15,0,2,762,1,96
3006,2024-05-04 15:30:00,9,0,10,736,1,56
3004,2024-05-04 14:00:02,6,1,2,501,1,123
3001,2024-05-02 16:20:00,13,0,7,749,4,117
3000,2024-05-02 13:10:00,9,0,1,702,1,62
2998,2024-05-02 11:30:00,7,0,2,496,1,168
2995,2024-05-01 11:10:00,11,0,1,1454,1,163
2993,2024-04-25 13:00:02,8,0,1,695,1,132
2991,2024-04-23 15:30:00,81,0,21,16948,1,166
2990,2024-04-23 14:05:00,6,0,1,692,1,61
2989,2024-04-23 13:15:00,24,0,8,1286,4,138
2987,2024-04-23 08:30:00,6,0,2,576,1,82
2983,2024-04-22 12:00:20,58,1,8,7128,1,162
2978,2024-04-19 12:40:00,6,0,1,759,1,90
2976,2024-04-19 10:00:04,4,0,2,571,1,55
2974,2024-04-18 16:30:00,5,0,2,723,1,112
2972,2024-04-15 20:40:10,9,0,5,790,1,71
2970,2024-04-13 19:30:00,10,0,2,777,1,70
2969,2024-04-13 12:20:00,11,0,3,792,1,116
2964,2024-04-12 12:05:00,41,0,4,5975,2,82
2962,2024-04-12 09:30:00,14,0,1,860,1,137
2957,2024-04-11 13:30:00,32,0,18,5516,4,86
2954,2024-04-10 12:20:00,105,5,12,15934,2,51
2952,2024-04-09 11:45:00,27,0,6,6125,1,80
2950,2024-04-08 12:15:00,14,0,1,803,1,83
2949,2024-04-08 11:00:03,6,0,5,895,1,227
2945,2024-04-06 12:00:03,26,0,3,1673,4,97
2943,2024-04-06 11:00:02,9,0,4,728,1,97
2940,2024-04-04 10:40:00,6,0,1,696,1,261
2937,2024-04-03 16:40:00,13,0,5,1146,1,104
2932,2024-04-02 11:51:00,27,0,3,1305,4,207
2931,2024-04-02 11:50:00,31,2,3,1615,1,88
2922,2024-03-31 21:00:02,7,5,8,1149,4,85
2920,2024-03-29 11:30:01,6,0,1,876,2,110
2918,2024-03-27 12:00:05,14,0,14,2593,2,72
2915,2024-03-22 23:00:01,29,1,2,1272,1,26
2912,2024-03-19 11:20:00,12,0,3,1164,1,74
2903,2024-03-16 12:15:00,116,6,21,17740,5,57
2900,2024-03-15 20:00:03,16,3,3,1182,2,103
2899,2024-03-15 18:20:00,6,0,4,934,1,82
2897,2024-03-15 14:30:00,75,0,8,3723,4,153
2896,2024-03-15 11:50:00,6,0,2,670,1,104
